puzzle_id,fen,moves,rating,themes
0042j,3r2k1/4nppp/pq3b2/1p2p3/2r2P2/2P1NR2/PP1Q2BP/3R2K1 w - - 0 25,d2d8 b6d8 d1d8,551,mateIn2
004X6,1r4k1/p4ppp/2Q5/3pq3/8/P6P/2PR1PP1/1R4K1 b - - 0 26,b8b1 d2d1 b1d1,1152,mateIn2
004XI,8/3k1p2/4p3/p2p4/3P1P2/q3P1rP/7r/1QR2K2 w - - 2 35,b1b7 d7e8 c1c8,982,mateIn2
004nd,3q2k1/3r4/pp3p1Q/2b1n3/P3N3/2P5/1P4PP/R6K w - - 1 25,e4f6 d8f6 h6f6,898,fork
006OI,6R1/p7/5k2/P7/6KP/8/8/5r2 b - - 6 53,f1g1 g4f4 g1g8,843,skewer
006yP,6R1/8/Kpk1p3/1p1pP3/6P1/PPr5/8/8 w - - 0 41,g8c8 c6d7 c8c3,819,skewer
0071K,3N1r2/R7/kp6/p2pPp1Q/2pP2P1/2q5/2P5/2K5 b - - 1 38,a6a7 h5h7 a7a6,1125,hangingPiece
008Y3,r5k1/1p1r1pp1/p3pnp1/2qN4/8/1Q5P/PP3PP1/3RR1K1 w - - 0 25,d5f6 g7f6 d1d7,1055,discoveredAttack
00AB1,8/7Q/3p1kp1/1p6/2b5/2q4P/5PPK/8 w - - 0 37,h7h8 f6e6 h8c3,1128,skewer
00DEc,8/p5pk/1p3b1p/3r3P/6P1/3nBN2/P4PK1/3R4 b - - 4 30,d3f4 e3f4 d5d1,1091,discoveredAttack
00Dt6,5rk1/p4p1p/4p1p1/5nq1/8/5QPP/5PK1/1R1R4 b - - 7 35,f5h4 g2f1 h4f3,1204,pin
00E29,r1b2rk1/4bppp/p1n5/3q4/Pp6/3B1N2/1B3PPP/R2Q1RK1 w - - 0 18,d3h7 g8h7 d1d5,953,discoveredAttack
00EoE,r1b5/ppr2k1p/5p2/5p2/8/2P3P1/P4PP1/4RK1R w - - 2 24,h1h7 f7g6 h7c7,974,skewer
00Er4,r3k2r/p1bN2pp/2p1Rp2/3p3b/3P1q2/2N4P/PPPQ1PP1/R5K1 b kq - 0 16,e8d7 d2f4 c7f4,1269,hangingPiece
00F1l,8/2k1b3/5p2/RBpK1Pp1/P2p2P1/1p1P4/2r5/8 w - - 0 46,a5a7 c7b8 a7e7,836,skewer
00Gt0,R7/4k3/5p2/3p2p1/4b2p/2K1PP1P/6P1/8 b - - 0 47,d5d4 c3d4 e4a8,1052,discoveredAttack
00IF1,1k6/p1p5/P2p4/3P4/1PK2r1p/4P3/8/4B3 w - - 0 58,e3f4 h4h3 e1g3,1266,hangingPiece
00KMV,1r3k2/1p1q1p2/p2p2p1/2pP2bp/2P1n1n1/1PQ3P1/P3N1K1/3N1R1R w - - 0 29,c3h8 f8e7 h8b8,943,skewer
00KOz,8/r4k2/7R/3n1PK1/8/8/8/8 w - - 4 57,h6h7 f7f8 h7a7,960,skewer
00LI0,r2qk2r/pp1n1ppp/4pn2/3N2B1/1b1P4/4QN1P/PPb1BPP1/R4RK1 b kq - 0 12,f6d5 g5d8 d5e3,1289,hangingPiece
00O37,r1q1r1k1/1p3pp1/n1p4p/p2pp2P/P3P3/2P2P2/1P1QBb2/R1BK3R w - - 0 24,e2a6 b7a6 d2f2,1300,discoveredAttack
00PrK,8/7R/r3k3/4p2p/3b2p1/3K4/8/5R2 w - - 0 56,h7h6 e6d5 h6a6,968,skewer
00Q4v,8/2p1b3/q1Pp2k1/3Pp3/4Pr2/1Q3PK1/3N2P1/4R3 b - - 2 47,e7h4 g3h2 h4e1,1228,skewer
00R2A,2kr1b1R/p5p1/8/3P1p2/2P5/4B3/PP1K1P2/8 b - - 0 25,f8b4 d2d3 d8h8,912,discoveredAttack
00Tdk,r6r/4kppp/2pNpnq1/p1P1n3/8/B3P3/PP1Q1PPP/3R1RK1 b - - 8 20,e5f3 g1h1 f3d2,1028,pin
00UHZ,6k1/6p1/pp2np1p/8/2r1NR1P/6P1/1PP5/1K6 w - - 2 33,e4f6 g7f6 f4c4,1071,discoveredAttack
00XL2,2kr3r/ppp3pp/6q1/3Pnp2/1PPQp3/7P/P3NPP1/R4RK1 b - - 2 17,e5f3 g1h1 f3d4,928,pin
00cy1,2rknb2/3q1pp1/p1pP3r/1pQ1P3/5P1p/1P4P1/PB4K1/3R4 w - - 0 28,c5b6 e8c7 d6c7,1202,pin
00f1Y,2r5/p2n1pkp/4p1p1/2Np4/1r6/1P1K1P1P/P3R1P1/2R5 w - - 6 37,c5e6 f7e6 c1c8,1197,discoveredAttack
00hbV,8/pk1r2R1/1p2b3/8/2P2N2/1P6/1K6/8 w - - 22 61,f4e6 d7g7 e6g7,943,hangingPiece
00mvP,r1b2k1r/pppp2pp/5q2/4n3/2BQ4/8/PPP2PPP/RN2R1K1 b - - 0 13,e5f3 g2f3 f6d4,1186,discoveredAttack
